Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
Drew Rasmussen,TBR,111.1,112.19529661016952,115.00545454545453,101.45646387832703,NA,113.1596,84.6632,110.0727441860465,NA,NA,108.09688138751265,108.74038829171245,114.76138975393093,Drew Rasmussen,25385,656876
Jacob deGrom,TEX,110.1,106.89373844121533,100.12722222222222,NA,NA,111.6937962962963,104.42260869565217,107.65576271186441,NA,NA,108.42906973097406,108.23235910528217,117.3923206697945,Jacob deGrom,10954,594798
Logan Gilbert,SEA,125.2,101.13825641025642,106.62666666666667,91.77136690647481,142.227299270073,110.34259023354565,104.76743589743589,108.56084507042256,NA,NA,109.23507975148497,104.7530628829096,112.73012498581845,Logan Gilbert,22250,669302
Braxton Ashcraft,PIT,122.1,90.5102027027027,102.334453125,NA,86.75489361702127,102.85515011547344,130.79286004056797,NA,NA,NA,105.45780444219447,106.89520325745714,108.99000351224359,Braxton Ashcraft,23793,677952
Justin Wrobleski,LAD,106.2,92.78497354497357,90.94436363636363,85,NA,106.12217291781577,79.56824999999999,91.26564102564103,NA,NA,96.21379916650942,111.18610738249652,105.04262158579782,Justin Wrobleski,31204,680736
Cade Cavalli,WSN,110.2,95.2953282442748,96.50249999999998,92.96271186440678,NA,119.81783018867924,NA,92.18993103448277,110.93668,NA,102.00990372839483,97.41087661886525,97.69736681719843,Cade Cavalli,27473,676917
Mason Miller,SDP,43.2,108.54488745980707,122.32,NA,NA,132.0201092896175,NA,109.9778947368421,NA,NA,121.01497847919654,102.81171141627384,120.25595613855299,Mason Miller,31757,695243
Tarik Skubal,DET,90,116.75975806451613,120.29953846153846,NA,NA,110.15347593582887,116.26421052631578,121.97044247787612,NA,NA,117.84815109719081,106.02584904122757,121.10312311238722,Tarik Skubal,22267,669373
Nolan McLean,NYM,119.1,102.53915422885574,114.63686453576862,99.58184615384617,NA,93.5814375,119.52773722627737,102.87285714285713,NA,NA,107.13100189295085,96.37930921323367,106.7416657223669,Nolan McLean,33703,690997
Sean Burke,CHW,118.1,118.78411847672778,88.03560975609757,89.05189655172414,NA,88.83034285714287,NA,83.52883720930232,85.87712158808932,NA,99.09210012298308,102.83416893780503,101.02810527967,Sean Burke,29878,680732
