mlbam_id,full_name,height_str,height_in,pos_code
669364,Xavier Edwards,"5' 9""",69,4
621107,Zach Eflin,"6' 6""",78,1
685126,Brandon Eisert,"6' 2""",74,1
694795,Josh Ekness,"6' 4""",76,1
693821,Bryce Elder,"6' 2""",74,1
805811,Bryce Eldridge,"6' 7""",79,10
592288,Kent Emanuel,"6' 4""",76,1
806068,Colt Emerson,"6' 0""",72,6
666464,Jerar Encarnacion,"6' 4""",76,9
687952,Christian Encarnacion-Strand,"6' 1""",73,5
669438,Mason Englert,"6' 4""",76,1
608650,Dietrich Enns,"6' 1""",73,1
543135,Nathan Eovaldi,"6' 2""",74,1
668674,Lucas Erceg,"6' 2""",74,1
641555,J.C. Escarra,"6' 2""",74,2
664744,Jose Espada,"6' 0""",72,1
669289,Santiago Espinal,"5' 9""",69,5
682982,Daniel Espino,"6' 0""",72,1
683155,Joey Estes,"6' 2""",74,1
608032,Carlos Estévez,"6' 6""",78,1
669093,Jeremiah Estrada,"6' 1""",73,1
681751,Lazaro Estrada,"5' 10""",70,1
805999,A.J. Ewing,"5' 10""",70,8
664126,Pete Fairbanks,"6' 6""",78,1
656413,Stuart Fairchild,"5' 11""",71,8
663559,Bailey Falter,"6' 4""",76,1
571657,Kyle Farmer,"5' 11""",71,10
815083,Mitch Farris,"6' 2""",74,1
676534,Calvin Faucher,"6' 1""",73,1
607200,Erick Fedde,"6' 4""",76,1
693459,Kyler Fedko,"6' 0""",72,7
676439,Hunter Feduccia,"6' 1""",73,2
663372,Ryan Feltner,"6' 4""",76,1
657571,Caleb Ferguson,"6' 3""",75,1
621053,Tyler Ferguson,"6' 4""",76,1
666023,Freddy Fermin,"5' 10""",70,2
665877,José Fermín,"5' 10""",70,7
820862,José Fermin,"6' 3""",75,1
699912,Jose Fernandez,"6' 3""",75,10
